"Country","Mangrove_area_ha_2020","Type_assessment","Territory_status","Federal_status","Mangrove_policy","Clearing_restrictions","Coordination_mechanism","Community_management","Coastal_zone_planning","Environmental_impact_assessment","Clearing_restrictions_level","Clearing_restrictions_year","Mangrove_NDC","Mangrove_policy_year","Coordination_mechanism_year","Assessment","WB_CODE","TERRITORY1","ISO_TER1","SOVEREIGN1","ISO_SOV1","FLD_PROTECTION","ISO_code","Jurisdiction","Juris_ISO","WB_REGION","gmw_area_2020_ha","gmw_area_2020_wdpa_ha","jurisdiction_area_ha","Shoreline_length_m","Mangrove_shoreline_length_m","mean_agb_Mg_ha","mean_abovegroundcarbon_MtCO2e_ha","mean_SOC_MgC_ha","mean_soilcarbon_MtCO2e_ha","protection_num_people","protection_property_USD_billion","ramsar_num_sites","total_abovegroundcarbon_storage_MtCO2e","total_belowgroundcarbon_storage_MtCO2e","total_carbon_storage_MtC02e","GDP_year","GDP_annualgrowth","GDP_dollarvalue","GDP_pc","GNIPC_21","WGI_control_corruption","WGI_rule_of_law","WGI_governance_effectiveness","fishing_pressure_median","mangrove_attractions","total_pop","fishing_pressure_median_medgap","fishing_pressure_median_mingap","fishing_pressure_median_maxgap","fisher_days_yr","extent","people_protected","property_protected","Carbon","Fishing_med","Fishing_min","Fishing_max","Government_type","people_protected_norm","property_protected_norm","Carbon_norm","Fishing_med_norm","Fishing_min_norm","Fishing_max_norm","extent_norm","GDP_pc_norm","Protection_norm","Governance_norm"
"Equatorial Guinea",25595,"Full",1,"N",0,0,0,1,0,0,NA,NA,"Y",NA,NA,"Full","GNQ","Equatorial Guinea","GNQ","Equatorial Guinea","GNQ","EquatorialGuinea","GNQ","Equatorial Guinea","Equatorial Guinea_GNQ","Sub-Saharan Africa",25453.29453,20327.13709,2679499.84936793,766637.7148,236963.4144567,208.660934448242,0.000381238350175864,300.05810546875,0.00121353699827148,0,0,0,9.70377201315754,30.8885146400562,40.5922866532137,2022,3.145798294,29136729667,8.94287652672149,12040,-1.57,-1.2,-1.16,313,11,1674908,313,313,313,79668.8118789,8.89343890671234,-9.02230833129723,-20.2077725101217,-6.34013823366032,5.74725694824148,5.74725694824148,5.74725694824148,"Unitary independent",-2.35349292802867,-1.99826932871534,0.707630902289165,-0.0622188084234868,0.211593014376603,-0.225984375236777,-0.170955356948775,0.343248536824581,-3.09657505692179,-1.96037095371301
"Eritrea",7791,"Full",1,"N",0,0,0,1,0,0,NA,NA,"N",NA,NA,"Full","ERI","Eritrea","ERI","Eritrea","ERI","Eritrea","ERI","Eritrea","Eritrea_ERI","Sub-Saharan Africa",7341.373827,0,12117631.334036,3523164.497,473490.06080417,53.1036758422852,9.7024188164021e-05,206.790832519531,0.00083633243559204,53.949635831923,0,0,0.712290835573267,6.13982905332657,6.85211988889983,NA,NA,5224331270,6.6722607676089,NA,-1.24,-1.57,-1.68,47,11,3684032,47,47,47,3450.44569869,7.66669402328789,-4.89694082036215,-20.2077725101217,-6.81004829830775,3.85714434391816,3.85714434391816,3.85714434391816,"Unitary independent",-0.938829967141815,-1.99826932871534,-0.891847651638886,-1.14010090342754,-0.547462214665103,-1.15894921687629,-0.62547054916467,-1.43695769514435,-2.08994606843681,-2.3120485012101
"Fiji",48814,"Full",1,"N",0,0,0,1,1,1,NA,NA,"Y",NA,NA,"Full","FJI","Fiji","FJI","Fiji","FJI","Fiji","FJI","Fiji","Fiji_FJI","East Asia & Pacific",48841.49921,17704.67916,1304355.51197754,5139940.437,2208191.05478489,111.897258758545,0.000204444240754088,430.164764404297,0.00173973256327087,4154.97719900407,0.013,1,9.98536322327983,84.9711466146057,94.9565098378855,2022,16.12485102,13133219725,8.47494935322184,10760,0.47,0.31,0.62,44,13,929766,44,44,44,21490.2596524,12.1676759859921,-2.46285573903657,-15.1328702246483,-6.15942894769019,3.79166164875696,3.79166164875696,3.79166164875696,"Unitary independent",-0.10413827020302,-0.288053853425042,1.32272866066926,-1.17744398260992,-0.573759580261288,-1.19127165744488,1.042166063452,-0.0236153268778555,-0.279071391288848,1.51656041800308
"France",69708,"Full",2,"N",0,1,0,1,1,0,"3A",2019,"N",NA,NA,"Full","FRA","France","FRA","France","FRA","France","FRA","France","France_FRA","North America & Europe",70310.84505866,50427.4363522,8679687.97569656,3731038.051828,1236618.64916772,86.5614910888267,0.000158153993409115,202.102727254232,0.000817372143943379,0,0,8,11.1199409259966,57.4701261680677,68.5900670940643,2022,2.562393564,3.77e+12,10.687507354212,52880,1.31,1.29,1.27,NA,0,67935660,379,1,8418,266478.102772321,10.316432736493,-9.02230833129723,-20.2077725101217,-6.77251733129209,5.93840653863334,0.285178942233662,9.03816675027277,"Unitary independent",-2.35349292802867,-1.99826932871534,-0.76409985186624,0.0467888350785268,-1.98193707605853,1.39841786158193,0.356271063804101,1.71107251105681,-3.09657505692179,3.13497086545718
"Gabon",174701,"Full",1,"N",0,1,0,1,0,1,"1",2015,"Y",NA,NA,"Full","GAB","Gabon","GAB","Gabon","GAB","Gabon","GAB","Gabon","Gabon_GAB","Sub-Saharan Africa",174399.2428,91454.01982,26165413.6591877,4046989.39,1971582.1099715,257.214019775391,0.000469948286202062,409.096252441406,0.00165452433759888,392.628240885378,0.008,4,81.9586252687973,288.547791671416,370.506416940213,2022,3.036941861,39348092301,9.08047994738167,12860,-0.85,-0.7,-0.78,178,1,2388992,178,178,178,310430.652184,10.2026938155615,-6.04401938904136,-16.8615634800754,-6.07756478596271,5.18363576646442,5.18363576646442,5.18363576646442,"Unitary independent",-1.33218390713291,-0.870614421324861,1.60137766367932,-0.383637320110524,-0.014753079632809,-0.504189359108392,0.314130217562868,0.451132253396348,-1.56744094849403,-0.910325467121322
"Gambia",60972,"Full",1,"N",0,1,0,1,1,0,"1",1998,"N",NA,NA,"Full","GMB","Gambia","GMB","Gambia","GMB","Gambia","GMB","Gambia","Gambia_GMB","Sub-Saharan Africa",61055.8383,26853.7673,1062601.02742918,1197857.866,1068096.06763222,34.3400211334229,6.27416580709209e-05,286.274871826172,0.00115779291512146,7956.95294958168,0.007,3,3.83074452985204,70.6900170105415,74.5207615403936,2022,4.92372751,6791578580,6.82348196824736,2230,-0.36,-0.39,-0.64,376,12,2705992,376,376,376,229569.952008,11.1393814259343,-2.03681705921568,-15.9668897459971,-6.57858276888304,5.9304664180464,5.9304664180464,5.9304664180464,"Unitary independent",0.0419580808857436,-0.569114061458557,-0.103985934809716,0.0422607906682331,0.285168581116538,-0.135551671072784,0.661177721104425,-1.31839737832192,-0.375107362085141,-0.290017836228535
"Ghana",17952,"Full",1,"N",0,1,0,0,0,1,"1",1999,"Y",NA,NA,"Full","GHA","Ghana","GHA","Ghana","GHA","Ghana","GHA","Ghana","Ghana_GHA","Sub-Saharan Africa",17808.88238,8696.801585,23861737.2512164,638304.883,56715.811401,59.7889709472656,0.000109238697233488,157.429794311523,0.000636699614325865,51561.5099196957,0.121,5,1.94541911037562,11.3389085429207,13.2843276532963,2022,3.239706263,2.18e+11,7.82810974270198,5850,-0.11,-0.08,-0.15,8418,1,33475870,8418,8418,8418,1499151.7187484,6.16943535958112,1.06311980281927,-11.8991709365966,-6.99634463030476,9.03816675027277,9.03816675027277,9.03816675027277,"Unitary independent",1.10498236858482,0.801685860518105,-1.52596258154201,1.81450152229606,1.53319802765609,1.39841786158193,-1.18021246700492,-0.530749966946528,1.356724226126,0.389229525016822
"Guatemala",24965,"Full",1,"N",1,1,1,1,0,0,"2",1990,"Y",1998,2019,"Full","GTM","Guatemala","GTM","Guatemala","GTM","Guatemala","GTM","Guatemala","Guatemala_GTM","Latin America & Caribbean",24898.08485,11544.25654,10823671.4152653,653220.0402,282947.6941828,75.8322000503538,0.000138550816490157,251.316864013672,0.00101641084580505,45.0728449235367,0.001,3,3.4496499850087,25.3066834813145,28.7563334663232,2022,4.118004169,1.88e+11,8.55104954207037,9610,-1.17,-1.09,-0.75,4067,6,17357886,4067,4067,4067,1012605.1108495,7.31598445387222,-6.2497271827449,-16.9894561331783,-6.62691303372144,8.31074204350557,8.31074204350557,8.31074204350557,"Unitary independent",-1.40272482154764,-0.913713575201892,-0.26849235408099,1.39967011749272,1.24106965067855,1.03935900191325,-0.755410220818276,0.0360486783147766,-1.64830359221815,-1.36442655761177
"Guinea",221145,"Full",1,"N",0,1,0,1,0,0,"1",2020,"Y",NA,NA,"Full","GIN","Guinea","GIN","Guinea","GIN","Guinea","GIN","Guinea","Guinea_GIN","Sub-Saharan Africa",218457.6154,57126.477,24470795.8909464,4715736.369,4244168.71951971,124.286383310954,0.000227080051414925,241.926071166992,0.000978431286663512,70858.3936701541,0.073,4,49.6073665370138,213.745765717265,263.353132254279,2022,4.7,44169987851,7.19757007556017,2500,-1,-1.13,-0.92,913,11,13859341,913,913,913,1994518.028602,10.6478082206494,-1.12553657422731,-14.9066446937853,-6.58945111732844,6.81709726107231,6.81709726107231,6.81709726107231,"Unitary independent",0.354452603052532,-0.211817035054166,-0.140979588623194,0.547883317278555,0.641232963782994,0.302091780520682,0.479047358950786,-1.02510513930213,0.101494915401026,-1.38411015339944
"Guinea-Bissau",268832,"Full",1,"N",0,1,0,1,0,0,"2",2011,"Y",NA,NA,"Full","GNB","Guinea-Bissau","GNB","Guinea-Bissau","GNB","GuineaBissau","GNB","Guinea-Bissau","Guinea-Bissau_GNB","Sub-Saharan Africa",267552.0211,110851.6782,3374139.34407543,7928164.079,6875483.0454122,56.7701123555501,0.00010372302813154,291.549163818359,0.00117912394519714,12353.8599584649,0.038,3,27.7513058112056,315.476994664901,343.228300476107,2022,3.500049592,4612114376,6.84819633912492,2020,-1.3,-1.44,-1.42,111,11,2105566,111,111,111,296982.743421,13.351352935543,-3.07273510047832,-15.7555177333509,-6.53472383999217,4.71249876374062,4.71249876374062,4.71249876374062,"Unitary independent",-0.313276908385926,-0.4978828008872,0.0453009637627552,-0.652314508108894,-0.203958212011984,-0.736743894817705,1.48072436804817,-1.29902083833321,-0.577195346327223,-2.10290849398925
"Guyana",28859,"Full",1,"N",0,1,0,1,0,0,"1",2009,"Y",NA,NA,"Full","GUY","Guyana","GUY","Guyana","GUY","Guyana","GUY","Guyana","Guyana_GUY","Latin America & Caribbean",26735.31988,14294.44415,21046045.0576152,4789783.171,449810.4123417,127.575172424316,0.000233088902755354,262.327606201172,0.00106094203086365,38938.3466213862,0.16,0,6.2317063756426,28.3646245692765,34.5963309449191,2022,57.80022,32868070112,9.22475399483292,23020,-0.17,-0.4,-0.24,20,1,808726,20,20,20,5347.063976,8.71376406751438,0.376076867416731,-12.026042519159,-6.52705158467885,3.01209762764026,3.01209762764026,3.01209762764026,"Unitary independent",0.869382948490328,0.758930802062326,0.0714157647792569,-1.62200908330765,-0.88682671988457,-1.57606662777915,-0.23752579484329,0.564245869098765,1.15865606789299,0.0798973827551508
"Haiti",15401,"Full",1,"N",0,0,0,0,0,0,NA,NA,"Y",NA,NA,"Full","HTI","Haiti","HTI","Haiti","HTI","Haiti","HTI","Haiti","Haiti_HTI","Latin America & Caribbean",15004.3105,6640.1522,2701750.99708412,2247045.908,624811.60587655,25.6868867874146,4.69317669159447e-05,402.175109863281,0.00162653288382446,6603.32418704063,0.007,0,0.704178803120462,24.4050044273627,25.1091832304831,2022,-1.681983975,38289291716,7.5889209672765,3180,-1.42,-1.25,-2.19,3066,2,11584996,3066,3066,3066,460032.15993,9.43193142850598,-0.820490147307768,-14.5743551920749,-6.29649752229555,8.02823668573378,8.02823668573378,8.02823668573378,"Unitary independent",0.459058527341721,-0.0998372143335931,0.856175032661197,1.23856465415238,1.12761759043701,0.899913571110341,0.0285588495964638,-0.718278546769241,0.255610415309758,-2.53760881363518
"Honduras",60564,"Full",1,"N",0,1,0,1,0,0,"2",1952,"Y",NA,2013,"Full","HND","Honduras","HND","Honduras","HND","Honduras","HND","Honduras","Honduras_HND","Latin America & Caribbean",60099.31124,41624.57442,11195173.8289226,2521969.825,1532244.82794849,69.6622848510742,0.000127277943120169,298.928253173828,0.00120896749144104,5949.57972301179,0.021,11,7.64931671756604,72.6581135471571,80.3074302647231,2022,3.997949815,70328920699,7.97871541326658,5600,-1.07,-1.07,-0.78,379,70,10432860,379,379,379,227776.3895996,9.51342386500999,-2.31145942701954,-14.8622058444605,-6.49861131028888,5.93840653863334,5.93840653863334,5.93840653863334,"Unitary independent",-0.0522217428978405,-0.196841375712497,0.168220690608428,0.0467888350785268,0.288357274762064,-0.131632405453876,0.058752210043475,-0.412672237487908,-0.177225361861787,-1.30325928574974
"India",403785,"Full",1,"Y",0,1,1,1,1,1,"2",1991,"N",NA,1976,"Full","IND","India","IND","India","IND","India","IND","India","India_IND","South Asia",344617.5713,86728.82438,314517899.609497,29434869.02,8316956.18574429,104.497901201248,0.000190925088858385,296.749671936035,0.00120015656819778,2868567.15903242,7.836,7,65.7961404226134,413.595041712063,479.391182134677,2022,7.002951544,1.19e+13,7.78454813929817,7220,-0.29,-0.08,0.28,5146,79,1417173173,5146,5146,5146,17734020.219098,10.3813769108022,2.11914712189536,-10.691388453961,-6.46283571815344,8.54603911826326,8.54603911826326,8.54603911826326,"Federal",1.4671131920864,1.20870222780868,0.289993550310092,1.53385392395379,1.3355632139533,1.15550229284069,0.380333209298511,-0.564903098114931,1.9040248058894,0.538136313301341
"Indonesia",2953398,"Full",1,"N",1,0,1,1,1,0,NA,NA,"Y",2012,2012,"Full","IDN","Indonesia","IDN","Indonesia","IDN","Indonesia","IDN","Indonesia","Indonesia_IDN","East Asia & Pacific",2901277.999,740021.2308,188741931.020368,134389256.2,57568296.6222451,197.424133300781,0.000360707916235079,415.169952392578,0.0016790884452594,245391.507622423,0.32,5,1046.51394143797,4871.50236460621,5918.01630604418,2022,5.308595005,4.04e+12,8.40719527294166,12730,-0.43,-0.22,0.38,451,79,275501339,451,451,451,13084763.77549,14.5410224741588,-2.46862580787172,-16.0050287358316,-6.11517942002403,6.11219877925247,6.11219877925247,6.11219877925247,"Unitary independent",-0.10611693092627,-0.581966701166236,1.47334507825242,0.145898033115466,0.358150951978482,-0.0458480718239487,1.92150295724263,-0.0767358231450133,-0.489618339998196,0.414167173579017
"Iran",11177,"Full",1,"N",0,1,0,0,0,0,"2",2017,NA,NA,2017,"Full","IRN","Iran","IRN","Iran","IRN","IranIslamicRepublicof","IRN","Iran","Iran_IRN","Middle East & North Africa",10263.78782,10253.28071,162290255.963917,6512398.186,615029.19268622,24.3949661254883,4.45713360906287e-05,273.313446044922,0.00110537250237732,1364.27442834833,0.016,4,0.457470736488122,11.3453088264633,11.8027795629514,2022,2.749166141,1.6e+12,8.35188921079086,16610,-1.1,-0.95,-0.86,1357,1,88550570,1357,1357,1357,139279.6007174,6.02439688217558,-2.0170916727858,-13.3704702203753,-6.63070942780342,7.21327481376356,7.21327481376356,7.21327481376356,"Unitary independent",0.048722271832989,0.30586571219634,-0.281414509559724,0.773813079088328,0.800334935967819,0.497646123083275,-1.23394995743786,-0.120096834849172,0.252313486364702,-1.29332844292941
"Jamaica",9945,"Full",1,"N",0,0,0,1,0,0,NA,NA,"N",NA,NA,"Full","JAM","Jamaica","JAM","Jamaica","JAM","Jamaica","JAM","Jamaica","Jamaica_JAM","Latin America & Caribbean",9766.934034,7309.032156,1100341.03026329,907259.0857,305909.86393216,35.5901107788086,6.50256606574089e-05,339.101257324219,0.00137144077904663,3017.54850316141,0.023,3,0.635101338158181,13.394771620486,14.0298729586442,2022,4.2,33424077379,8.5811402876966,10300,-0.03,-0.17,0.41,2628,29,2827377,2628,2628,2628,256675.02641352,8.99399998208669,-1.17416730122363,-12.9583081370672,-6.4341646787464,7.87410394249741,7.87410394249741,7.87410394249741,"Unitary independent",0.337776249234276,0.444762174344823,0.387583953454165,1.15066675653066,1.0657190218266,0.823833220100533,-0.133696969226286,0.0596403990510698,0.556829353391877,0.732619779560021
"Japan",1031,"Full",1,"N",0,0,0,1,0,0,NA,NA,"N",NA,NA,"Full","JPN","Japan","JPN","Japan","JPN","Japan","JPN","Japan","Japan_JPN","East Asia & Pacific",1028.719267,978.0037345,37218483.0806891,5380106.536,77473.32924766,147.377212524414,0.000269268636723479,314.549163818359,0.00127214376519714,423.291486006198,0.014,1,0.277001834596266,1.30867880165222,1.58568063624849,2022,1.028624866,5.7e+12,10.5830219988234,44910,1.57,1.58,1.4,NA,19,125124989,379,1,8418,3898.84602193,5.01218230345103,-0.887715582059657,-11.2046447948084,-6.37085531207047,5.93840653863334,0.285178942233662,9.03816675027277,"Unitary independent",0.436005712696498,1.03573753065172,0.603076197351716,0.0467888350785268,-1.98193707605853,1.39841786158193,-1.60898058526363,1.6291539917892,1.04724549473783,3.58252746704441
"Kenya",54430,"Full",1,"N",1,1,1,1,1,0,"1",2016,"Y",2017,2017,"Full","KEN","Kenya","KEN","Kenya","KEN","Kenya","KEN","Kenya","Kenya_KEN","Sub-Saharan Africa",54206.9922,11126.87036,58345710.956426,1510283.811,804529.90274238,58.8466555277506,0.000107517020021454,299.799865722656,0.00121249258893677,43601.8014181677,0.148,1,5.82817426567023,65.7255763110531,71.5537505767233,2022,4.846634856,3.11e+11,7.70894038772998,5150,-0.71,-0.39,-0.33,186,24,54027487,186,186,186,100825.005492,7.24756390418044,-0.217561410566299,-12.8104950845836,-6.50945401789673,5.22751929523932,5.22751929523932,5.22751929523932,"Unitary independent",0.665813670892344,0.494574398420739,0.131314313005567,-0.358611684164886,0.00287022064527903,-0.482528327178121,-0.780760380998174,-0.624181023050785,0.82569509541015,-0.329341817623983
"Liberia",18337,"Full",1,"N",0,1,0,1,0,0,"2",1990,"Y",NA,NA,"Full","LBR","Liberia","LBR","Liberia","LBR","Liberia","LBR","Liberia","Liberia_LBR","Sub-Saharan Africa",18213.5316,5912.71853,9583144.03260078,1509178.52,509620.38254764,97.0079345703125,0.00017724038774842,174.825668334961,0.000707054443473816,3055.41456989488,0.013,3,3.2281734030521,12.8779584491308,16.1061318521829,2022,4.808113461,9147113351,6.71195934918616,1470,-0.92,-0.93,-1.38,2064,9,5302681,2064,2064,2064,375927.292224,7.96201173085682,-1.78453036086496,-14.1503827673454,-6.85556343043181,7.63256099754234,7.63256099754234,7.63256099754234,"Unitary independent",0.1284717422105,0.0430392709820459,-1.0467719301096,1.0129210926236,0.968717163319914,0.704606950261536,-0.516053842859967,-1.40583324705552,0.122041760120598,-1.48517337846352
"Madagascar",277567,"Full",1,"N",0,1,1,1,1,1,"3A",2014,"Y",NA,2010,"Full","MDG","Madagascar","MDG","Madagascar","MDG","Madagascar","MDG","Madagascar","Madagascar_MDG","Sub-Saharan Africa",275833.3291,51405.945,59034223.9631815,15568415.44,6869321.65240665,146.754058837891,0.00026813009067036,220.171813964844,0.000890449674090577,28287.8130960314,0.357,6,73.9592155414903,245.615698000414,319.574913541904,2022,3.796204884,52533215226,6.47262446291822,1600,-0.93,-0.87,-1,294,6,29611714,294,294,294,810949.987554,11.1946999282449,-2.27618959967183,-13.5562786534866,-6.62418455853163,5.68470158684341,5.68470158684341,5.68470158684341,"Unitary independent",-0.0401270826637092,0.243249243962877,-0.259205177918268,-0.0978925052409459,0.186471244348092,-0.256861875713183,0.681673506373662,-1.5934763805764,0.144535243673365,-1.21434161119104
"Malaysia",524575,"Full",1,"N",0,1,0,0,0,1,"1",1987,"Y",NA,NA,"Full","MYS","Malaysia","MYS","Malaysia","MYS","Malaysia","MYS","Malaysia","Malaysia_MYS","East Asia & Pacific",522709.1542,89028.73362,32948850.0405389,16893067.54,8709183.08684691,167.376118977864,0.000305808059504249,436.833068847656,0.00176670145366333,29168.4947284345,0.141,6,159.848672131009,923.471022568269,1083.31969469928,2022,8.694343203,1.13e+12,9.32867259013758,28280,0.17,0.56,0.99,356,105,33938221,356,356,356,1860844.588952,12.4987331448855,-2.88377559990895,-15.1195875511655,-6.10047949543185,5.87585726777623,5.87585726777623,5.87585726777623,"Unitary independent",-0.248479285906332,-0.283577662068911,1.52338064015765,0.0111186115382903,0.263237950649717,-0.16250689962231,1.16482441747653,0.645720037608502,-0.378594733985946,1.71453722524925
"Mexico",1005518,"Full",1,"Y",1,1,0,1,0,1,"3A",2003,"Y",2003,2004,"Full","MEX","Mexico","MEX","Mexico","MEX","Mexico","MEX","Mexico","Mexico_MEX","Latin America & Caribbean",992132.0573,748402.3799,195171268.729661,27278099.53,10767965.3852612,20.8983995914459,3.81828606424412e-05,197.769393920898,0.000799846670610045,227575.180261003,7.415,61,37.8824400827844,793.553522836899,831.435962919683,2022,3.06238019,2.74e+12,9.22937603856651,19060,-1,-0.8,-0.31,618,318,127504125,618,618,618,6131376.114114,11.8398291957195,-1.47184956707768,-11.8038825047167,-6.90046933550901,6.42702229552332,6.42702229552332,6.42702229552332,"Federal",0.235695628659179,0.833797562704716,-1.19962252327494,0.325433702312304,0.484581745415912,0.109549691954883,0.920697167260524,0.567869639886905,0.761017202810843,-0.783033343378343
"Micronesia",8794,"Full",1,"Y",0,0,0,0,0,1,NA,NA,"Y",NA,NA,"Full","FSM","Micronesia","FSM","Micronesia","FSM","MicronesiaFederatedStatesof","FSM","Micronesia","Micronesia_FSM","East Asia & Pacific",8710.555361,0,298476.375385513,1443359.886,399701.52795363,188.988983154297,0.000345296297697882,238.365676879883,0.000964031841632386,283.281078742433,0.002,0,3.00772251704573,8.39725272630568,11.4049752433514,2022,-0.619574793,440113591,8.22098958023485,4030,0.56,0.52,0.12,139,2,114164,139,139,139,12107.67195179,10.6483652007959,-3.42214709396501,-15.2796326338777,-6.51665203812486,4.9368452201255,4.9368452201255,4.9368452201255,"Federal",-0.433096586018289,-0.337512016230152,0.106813712035726,-0.524375554703815,-0.113862336006285,-0.626005859594431,0.479253722915906,-0.222724651617831,-0.548340473488385,1.4038135747148
"Mozambique",302735,"Full",1,"N",1,1,0,1,1,1,"2",2001,"Y",2020,NA,"Full","MOZ","Mozambique","MOZ","Mozambique","MOZ","Mozambique","MOZ","Mozambique","Mozambique_MOZ","Sub-Saharan Africa",297868.0382,162670.9916,78624464.3132832,12104116.7,6442527.14451531,73.8825378417969,0.000134988645134239,201.025421142578,0.000813015151743774,241978.239535545,1.938,1,40.2088029054118,242.171228276793,282.380031182205,2022,4.148414532,48391661733,6.45862037521458,1320,-0.81,-1.04,-0.77,173,6,32969518,173,173,173,515311.706086,10.7333018365804,-0.207654209405084,-11.9424919992649,-6.79685201820785,5.15519729195322,5.15519729195322,5.15519729195322,"Unitary independent",0.669211028943881,0.787086889421969,-0.846930190619514,-0.399855043020123,-0.0261737604612013,-0.518226669270827,0.51072317663964,-1.60445585348062,1.03625509469648,-1.10386836855017
"Myanmar",543539,"Full",1,"N",0,1,0,1,0,1,"1",2015,"Y",NA,2016,"Full","MMR","Myanmar","MMR","Myanmar","MMR","Burma","MMR","Myanmar","Myanmar_MMR","East Asia & Pacific",531985.691,14812.05708,66779616.0677985,33320832.61,13954851.3968342,94.3677660624187,0.000172416612331152,232.66960144043,0.000940994975889589,57382.7837738613,0.142,2,91.7231706508668,500.595862476151,592.319033127018,2022,3.002678341,2.64e+11,7.21242720305355,4330,-1.03,-1.46,-1.41,1653,3,54179306,1653,1653,1653,8793723.47223,12.4891625403037,-2.22575402378412,-15.1300465105921,-6.65879225168425,7.4105467149198,7.4105467149198,7.4105467149198,"Unitary independent",-0.0228318135924785,-0.287102276585721,-0.377002746353127,0.886312117302958,0.879557871031655,0.595020082497746,1.16127846000821,-1.0134568668691,-0.220539201434602,-1.93015665069568
"New Caledonia",33413,"Full",3,NA,0,0,0,0,1,0,NA,NA,NA,NA,NA,"Full","NCL","New Caledonia","NCL","France","FRA","NewCaledonia","NCL","New Caledonia","New Caledonia_NCL","East Asia & Pacific",33480.82103,17933.10248,2231154.53111018,4032859.757,1970000.96606264,92.1065444946289,0.000168285199893237,220.244873046875,0.000890745149858398,3197.38219054266,0.031,0,5.63432665962326,29.8228789457496,35.4572056053728,2021,-2.1,1.07e+10,10.526914275554,NA,1.31,1.29,1.27,11,6,276780,11,11,11,3682.8903133,11.0107098263642,-2.34737740181193,-13.8906892892513,-6.7021132952984,2.42745407503992,2.42745407503992,2.42745407503992,"Not fully independent",-0.0645386645864365,0.130554612181761,-0.524458792536368,-1.95541610671252,-1.1216152423841,-1.86464831239397,0.613504241800342,1.58516446241816,0.046974840219256,3.13497086545718
"New Zealand",29611,"Full",1,"N",0,0,0,1,0,0,NA,NA,"N",NA,NA,"Full","NZL","New Zealand","NZL","New Zealand","NZL","NewZealand","NZL","New Zealand","New Zealand_NZL","East Asia & Pacific",29675.9225,2848.564335,26958501.6485482,6614653.483,1190051.44496087,118.643348693848,0.000216769826297322,253.158172607422,0.0010238577238031,5476.06538706136,0.325,1,6.4328445655378,30.3839224626072,36.816767028145,2022,2.156979776,2.66e+11,10.7981087875971,47140,2.2,1.82,1.35,44,25,5124100,44,44,44,13057.4059,8.89328956758908,-1.6892953637414,-11.4218685178788,-6.56422900257013,3.79166164875696,3.79166164875696,3.79166164875696,"Unitary independent",0.161129541219621,0.962534274333155,-0.0551286254800859,-1.17744398260992,-0.573759580261288,-1.19127165744488,-0.171010687850279,1.79778615258189,0.799563289151202,4.13069024534265
"Nicaragua",74731,"Full",1,"N",1,1,0,1,1,1,"3A",2005,"Y",2002,2003,"Full","NIC","Nicaragua","NIC","Nicaragua","NIC","Nicaragua","NIC","Nicaragua","Nicaragua_NIC","Latin America & Caribbean",74345.8574,58668.07075,12799589.6326681,2553131.737,1364479.9373464,48.5268993377686,8.86620923633891e-05,307.315887451172,0.00124288993625427,9149.88935932489,0.025,3,6.59165927563415,92.4037179646553,98.9953772402894,2022,3.751102566,47768887517,7.69265176148483,5880,-1.24,-1.36,-0.85,307,19,6948392,307,307,307,228241.782218,9.60449375802401,-2.09400602365826,-14.9003954644688,-6.50173362717023,5.72792208884268,5.72792208884268,5.72792208884268,"Unitary independent",0.0223469530155704,-0.209711077523434,0.157592957205798,-0.0732449762336566,0.203828277981599,-0.235528115644551,0.0924940666329225,-0.636951617914959,-0.133322327894616,-1.65337049107312
"Nigeria",844243,"Full",1,"Y",0,1,0,0,1,1,"2",1992,"Y",NA,NA,"Full","NGA","Nigeria","NGA","Nigeria","NGA","Nigeria","NGA","Nigeria","Nigeria_NGA","Sub-Saharan Africa",839251.4881,46081.06676,90796822.8083633,6312140.673,5298165.41764851,100.649291992188,0.000183893406434391,401.670867919922,0.00162449355796326,304582.476219177,0.207,1,154.332815001841,1363.35863592953,1517.69145093137,2022,3.251681408,1.28e+12,7.7017337336534,5220,-1.07,-0.86,-1,1569,1,218541212,1569,1569,1569,13167855.848289,10.9741424192265,-1.01323601241625,-15.2085362413573,-6.22583590313713,7.35840405566562,7.35840405566562,7.35840405566562,"Federal",0.392962492137512,-0.313552904529866,1.09669285284136,0.856576513896357,0.858617765096965,0.569282320777908,0.599955832258492,-0.629831177836903,0.0565053267524458,-1.30092211170886
"Pakistan",82789,"Full",1,"Y",0,0,0,0,0,0,NA,NA,"Y",NA,2009,"Full","PAK","Pakistan","PAK","Pakistan","PAK","Pakistan","PAK","Pakistan","Pakistan_PAK","South Asia",77745.46002,42597.38006,87204244.8697382,10174927.97,3183351.46174273,17.9102478027344,3.27232950509433e-05,165.570755004883,0.000669624427296449,135834.99719897,0.131,3,2.54408762710577,52.0602591407914,54.6043467678972,2022,6.188155474,1.52e+12,7.40985090698311,5700,-0.79,-0.64,-0.4,3089,11,235824862,3089,3089,3089,2401557.2600178,9.11303729130663,0.558069809136432,-13.2927601298023,-7.04514468516917,8.03570951790213,8.03570951790213,8.03570951790213,"Federal",0.931791612230287,0.332053605481421,-1.69206807078004,1.24282621612219,1.13061862451306,0.903602181865385,-0.0895930432902479,-0.858672902799748,0.899311898509851,-0.592873539914551
