"Juris_ISO","Jurisdiction","ISO_code","gmw_area_2020_ha","gmw_area_2020_wdpa_ha","jurisdiction_area_ha","Shoreline_length_m","Mangrove_shoreline_length_m","mean_agb_Mg_ha","mean_abovegroundcarbon_MtCO2e_ha","mean_SOC_MgC_ha","mean_soilcarbon_MtCO2e_ha","protection_num_people","protection_property_USD_billion","ramsar_num_sites","total_abovegroundcarbon_storage_MtCO2e","total_belowgroundcarbon_storage_MtCO2e","total_carbon_storage_MtC02e","Country","WB_CODE","WB_REGION","TERRITORY1","ISO_TER1","SOVEREIGN1","ISO_SOV1","GDP_year","GDP_annualgrowth","GDP_dollarvalue","GDP_pc","GNIPC_21","WGI_control_corruption","WGI_rule_of_law","WGI_governance_effectiveness","fishing_pressure_median","mangrove_attractions","total_pop","fishing_pressure_median_medgap","fishing_pressure_median_mingap","fishing_pressure_median_maxgap","fisher_days_yr"
"Costa Rica_CRI","Costa Rica","CRI",36821.18267,19749.51545,5114236.09194865,2414731.534,857194.35882453,116.406188964844,0.000212682376548184,319.40185546875,0.00129176970014648,1365.22802273011,0.003,6,7.83121663757041,47.5644880966648,55.3957047342352,"Costa Rica","CRI","Latin America & Caribbean","Costa Rica","CRI","Costa Rica","CRI",2022,4.305015798,1.29e+11,12472,21150,0.5,0.45,0.26,444,171,5180829,444,444,444,163486.0510548
"Cuba_CUB","Cuba","CUB",351014.7126,181690.2323,11070553.2643291,18411348.66,12198550.0802485,30.2329483032227,5.52377442502626e-05,444.859802246094,0.00179916429261597,77967.4105313389,0.585,6,19.3892609226782,631.533137092776,650.922398015455,"Cuba","CUB","Latin America & Caribbean","Cuba","CUB","Cuba","CUB",2021,1.254092864,1.07e+11,9499,NA,-0.01,-0.4,-0.22,33,26,11212191,33,33,33,115834.855158
"Curacao_CUW","Curacao","CUW",44.41490264,3.208311476,43765.1270619765,NA,15744.8031,84.5242385864258,0.00015443178836407,116.827407836914,0.000472489758611145,0,0,0,0.00685907284471127,0.0209855866271111,0.0278446594718224,"Curacao","CUW","Latin America & Caribbean","Curacao","CUW","Netherlands","NLD",2021,4.232404629,3494318886,17717,23890,NA,NA,NA,NA,4,149996,379,1,8418,168.3324810056
"Democratic Republic of the Congo_COD","Democratic Republic of the Congo","COD",23638.69971,23349.13848,232897222.903793,511665.8961,232161.0679441,68.7601470947266,0.000125629673352899,384.707244873047,0.00155588689872986,949.354542848336,0.004,1,2.96972212305457,36.7791431817983,39.7488653048529,"Congo, DRC","COD","Sub-Saharan Africa","Democratic Republic of the Congo","COD","Democratic Republic of the Congo","COD",2022,8.924447851,1.32e+11,577,1140,-1.55,-1.7,-1.72,1661,11,99010212,1661,1661,1661,392638.8021831
"Djibouti_DJI","Djibouti","DJI",709.1241849,77.89222041,2167166.24716152,458105.5766,27397.7297962,93.4370727539062,0.000170716169541536,168.1884765625,0.000680211383300781,15.8120971997206,0,1,0.121058964575392,0.482354342742868,0.60341330731826,"Djibouti","DJI","Middle East & North Africa","Djibouti","DJI","Djibouti","DJI",2022,3,6605370361,17717,5320,-0.78,-1.01,-0.8,NA,11,1120849,379,1,8418,2687.580660771
"Dominica_DMA","Dominica","DMA",1.465151073,1.465151073,75515.3427242034,162316.4768,612.8392548,86.5614910888267,0.000158153993409115,269.698128336066,0.00109075092835469,0,0,0,0.0002317194931426,0.00159811489305462,0.00182983438619722,"Dominica","DMA","Latin America & Caribbean","Dominica","DMA","Dominica","DMA",2022,5.938928276,987257336,7653,12050,0.58,0.72,-0.09,NA,2,72737,379,1,8418,5.55292256667
"Dominican Republic_DOM","Dominican Republic","DOM",19056.46391,15995.76719,4815788.47513658,1721912.178,379203.2803176,36.9648885726928,6.75374773488502e-05,359.786834716797,0.00145510028711853,3955.40592961776,0.029,4,1.28702549967081,27.7290661069049,29.0160916065757,"Dominican Republic","DOM","Latin America & Caribbean","Dominican Republic","DOM","Dominican Republic","DOM",2022,4.858324033,2.56e+11,8476,19530,-0.57,-0.1,0.03,515,79,11228821,515,515,515,98140.7891365
"East Timor_TLS","East Timor","TLS",855.7067681,327.7077713,1401718.3050664,725364.121,51226.00973,320.600189208984,0.000585759320609295,338.010070800781,0.00136702764974243,0,0,0,0.501238215123031,1.16977481206443,1.67101302718747,"Timor-Leste","TLS","East Asia & Pacific","East Timor","TLS","East Timor","TLS",2022,-17.49119431,6476213640,2741,2900,-0.05,-1,-0.76,NA,11,1341296,379,1,8418,3243.128651099
"Ecuador_ECU","Ecuador","ECU",146597.3814,75920.40769,24795551.365723,4146578.008,2896750.31494362,88.8946151733399,0.000162416776852922,300.920043945313,0.00121702297052979,177822.389807284,0.215,5,23.8098741820666,178.412380583316,202.222254765383,"Ecuador","ECU","Latin America & Caribbean","Ecuador","ECU","Ecuador","ECU",2022,2.947668633,2.31e+11,5965,11590,-0.57,-0.34,-0.21,1556,45,18001000,1556,1556,1556,2281055.254584
"Egypt_EGY","Egypt","EGY",203.2279667,82.39761628,98374451.3755889,4716346.973,21501.15821275,52.4036979675293,9.57452788615337e-05,43.648551940918,0.000176529584556732,5.39055935426038,0,0,0.019458118344154,0.0358757485318604,0.0553338668760144,"Egypt","EGY","Middle East & North Africa","Egypt","EGY","Egypt","EGY",2022,6.587845609,1.67e+12,3698,13050,-0.68,-0.24,-0.43,NA,21,110990103,379,1,8418,770.233993793
"El Salvador_SLV","El Salvador","SLV",36942.59048,28276.14655,2053150.50363809,927357.9564,582855.0408299,50.2681544621785,9.18434891716641e-05,295.341522216797,0.00119446153196228,5043.37351116501,0.02,3,3.3929364087231,44.126503219396,47.5194396281191,"El Salvador","SLV","Latin America & Caribbean","El Salvador","SLV","El Salvador","SLV",2022,2.600239918,70309956558,4551,9600,-0.53,-0.85,-0.31,2661,3,6336392,2661,2661,2661,983042.3326728
"Equatorial Guinea_GNQ","Equatorial Guinea","GNQ",25453.29453,20327.13709,2679499.84936793,766637.7148,236963.4144567,208.660934448242,0.000381238350175864,300.05810546875,0.00121353699827148,0,0,0,9.70377201315754,30.8885146400562,40.5922866532137,"Equatorial Guinea","GNQ","Sub-Saharan Africa","Equatorial Guinea","GNQ","Equatorial Guinea","GNQ",2022,3.145798294,29136729667,7506,12040,-1.57,-1.2,-1.16,313,11,1674908,313,313,313,79668.8118789
"Eritrea_ERI","Eritrea","ERI",7341.373827,0,12117631.334036,3523164.497,473490.06080417,53.1036758422852,9.7024188164021e-05,206.790832519531,0.00083633243559204,53.949635831923,0,0,0.712290835573267,6.13982905332657,6.85211988889983,"Eritrea","ERI","Sub-Saharan Africa","Eritrea","ERI","Eritrea","ERI",NA,NA,5224331270,643,NA,-1.24,-1.57,-1.68,47,11,3684032,47,47,47,3450.44569869
"Europa Island_ATF","Europa Island","ATF",672.3018198,672.3018198,4914.45580823574,37721.88991,14932.306678,86.5614910888267,0.000158153993409115,269.698128336066,0.00109075092835469,1889.0749263544,0.013,1,0.106327217577585,0.733313834081395,0.839641051658981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Federal Republic of Somalia_SOM","Federal Republic of Somalia","SOM",3463.708421,0,63268066.8209709,3826492.694,228435.9895402,31.1828079223633,5.697320525094e-05,154.442794799805,0.000624619172720643,661.046241010225,0.013,0,0.197338570799042,2.16349868847055,2.36083725926959,"Somalia","SOM","Sub-Saharan Africa","Federal Republic of Somalia","SOM","Federal Republic of Somalia","SOM",2022,4.798778989,24004794505,446,1250,-1.78,-2.27,-2.05,255,11,17597511,255,255,255,8832.45647355
"Fiji_FJI","Fiji","FJI",48841.49921,17704.67916,1304355.51197754,5139940.437,2208191.05478489,111.897258758545,0.000204444240754088,430.164764404297,0.00173973256327087,4154.97719900407,0.013,1,9.98536322327983,84.9711466146057,94.9565098378855,"Fiji","FJI","East Asia & Pacific","Fiji","FJI","Fiji","FJI",2022,16.12485102,13133219725,4646,10760,0.47,0.31,0.62,44,13,929766,44,44,44,21490.2596524
"French Guiana_GUF","French Guiana","GUF",63570.43805,43979.46056,8325719.42605991,2021181.119,842241.2113955,86.5614910888267,0.000158153993409115,166.508560180664,0.000673417230281067,1889.0749263544,0.013,3,10.0539186403743,42.8094283193851,52.8633469597594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"French Polynesia_PYF","French Polynesia","PYF",125.8718062,10.5626845,818863.75702504,8961035.649,87623.870001,161.198394775391,0.000294520918530687,269.698128336066,0.00109075092835469,0,0,0,0.0370718799791406,0.137294789466331,0.174366669445472,"French Polynesia","PYF","East Asia & Pacific","French Polynesia","PYF","France","FRA",2021,2.399988092,6.555e+09,19914,NA,NA,NA,NA,NA,11,306279,379,1,8418,477.054145498
