Country,Mangrove_area_ha_2020,Type_assessment,Territory_status,Federal_status,Mangrove_policy,Clearing_restrictions,Coordination_mechanism,Community_management,Coastal_zone_planning,Environmental_impact_assessment,Clearing_restrictions_level,Clearing_restrictions_year,Mangrove_NDC,Mangrove_policy_year,Coordination_mechanism_year
Oman,144,Partial,1,N,N,N,0,,,,NA,NA,N,NA,NA
Pakistan,82789,Full,1,Y,N,N,0,N,NA,N,NA,NA,Y,NA,2009
Palau,5688,Full,1,N,N,Y,0,N,N,Y,2,2011,N,NA,NA
Panama,153569,Full,1,N,Y,Y,1,Y,Y,Y,2,1994,Y,2008,2007
Papua New Guinea,452474,Full,1,N,N,N,0,Y,NA,N,NA,NA,Y,NA,NA
Peru,5494,Full,1,N,N,Y,1,Y,N,N,3A,1992,N,NA,2013
Philippines,284798,Full,1,N,Y,Y,0,Y,Y,Y,3A,1975,N,1990,NA
Puerto Rico,8284,Full,3,NA,N,N,1,N,NA,N,NA,NA,NA,NA,2009
Qatar,454,Partial,1,N,N,N,0,,,,NA,NA,Y,NA,NA
Republic of Congo,2011,Full,1,N,N,N,0,Y,Y,N,NA,NA,Y,NA,NA
Saint Martin,1,Partial,3,NA,N,N,0,,,,NA,NA,NA,NA,NA
Saint Vincent and the Grenadines,33,Partial,1,N,N,N,0,,,,NA,NA,N,NA,NA
Samoa,232,Partial,1,N,N,N,0,,,,NA,NA,Y,NA,NA
Sao Tome and Principe,48,Partial,1,N,N,Y,0,,,Y,1,1999,N,NA,NA
Saudi Arabia,7710,Full,1,N,N,Y,0,N,Y,N,2,2020,Y,NA,NA
Senegal,126974,Full,1,N,Y,Y,0,Y,NA,N,2,1995,Y,2018,NA
Seychelles,383,Partial,1,N,N,N,1,,,,NA,NA,Y,NA,2013
Sierra Leone,152903,Full,1,N,N,N,0,Y,NA,N,NA,NA,Y,NA,NA
Singapore,730,Partial,1,N,N,N,0,,,,NA,NA,N,NA,NA
Sint Maarten,5,Partial,3,NA,N,N,0,,,,NA,NA,NA,NA,NA
Solomon Is.,52651,Full,1,N,N,Y,0,Y,NA,N,2,2012,N,NA,NA
Somalia,3515,Full,1,N,N,Y,0,N,NA,N,2,2016,Y,NA,NA
South Africa,2643,Full,1,Y,N,Y,1,Y,Y,N,1,1998,N,NA,2008
Sri Lanka,19874,Full,1,N,N,Y,0,Y,Y,N,3A,2016,Y,NA,NA
St. Kitts & Nevis,35,Partial,1,Y,N,N,0,,,,NA,NA,N,NA,NA
St. Lucia,162,Partial,1,N,N,N,0,Y,,,NA,NA,Y,NA,NA
Sudan,939,Full,1,N,N,N,0,N,NA,N,NA,NA,Y,NA,NA
Suriname,80044,Full,1,N,N,N,0,Y,NA,N,NA,NA,Y,NA,NA
Taiwan,163,Partial,1,N,N,N,0,,Y,,NA,NA,NA,NA,NA
Tanzania,110787,Full,1,N,Y,Y,0,Y,N,Y,2,1999,Y,1991,NA
Thailand,252799,Full,1,N,Y,N,1,Y,Y,Y,NA,NA,N,2009,2015
The Bahamas,154121,Full,1,N,N,Y,0,N,N,N,1,2021,Y,NA,NA
Timor-Leste,1050,Full,1,N,N,Y,2,Y,N,Y,2,2020,Y,NA,2019
Togo,50,Partial,1,N,N,N,0,Y,,,NA,NA,Y,NA,NA
Tonga,1043,Full,1,N,N,N,0,N,NA,N,NA,NA,Y,NA,NA
Trinidad & Tobago,8223,Full,1,N,N,Y,0,N,NA,N,3B,1999,N,NA,NA
